id,player_id,full_name,is_active
355,1630174,Aaron Nesmith,t
356,1641803,Tristen Newton,t
357,1627777,Georges Niang,t
358,1630227,Daishen Nix,t
359,1630192,Zeke Nnaji,t
360,1629669,Jaylen Nowell,t
361,203994,Jusuf Nurkić,t
362,1626220,Royce O'Neale,t
363,1629006,Josh Okogie,t
364,1630168,Onyeka Okongwu,t
365,1630171,Isaac Okoro,t
366,1642439,Quincy Olivari,t
367,203482,Kelly Olynyk,t
368,1630647,Eugene Omoruyi,t
369,1626162,Kelly Oubre Jr.,t
370,101108,Chris Paul,t
371,1626166,Cameron Payne,t
372,203901,Elfrid Payton,t
373,1627780,Gary Payton II,t
374,1641809,Drew Peterson,t
375,1641763,Julian Phillips,t
376,1629618,Jalen Pickett,t
377,1630590,Scotty Pippen Jr.,t
378,1631342,Daeqwon Plowden,t
379,203486,Mason Plumlee,t
380,1641764,Brandin Podziemski,t
381,1627751,Jakob Poeltl,t
382,1629673,Jordan Poole,t
383,1641854,Craig Porter Jr.,t
384,1629645,Kevin Porter Jr.,t
385,1629008,Michael Porter Jr.,t
386,1626171,Bobby Portis,t
387,204001,Kristaps Porziņģis,t
388,1642366,Quinten Post,t
389,1630695,Micah Potter,t
390,203939,Dwight Powell,t
391,1626181,Norman Powell,t
392,1627752,Taurean Prince,t
393,1630202,Payton Pritchard,t
394,1641765,Olivier-Maxence Prosper,t
395,1642389,Zyon Pullin,t
396,1630243,Trevelin Queen,t
397,1629674,Neemias Queta,t
398,1630193,Immanuel Quickley,t
399,1631311,Lester Quinones,t
400,203944,Julius Randle,t
401,1641871,Duop Reath,t
402,1630559,Austin Reaves,t
403,1629629,Cam Reddish,t
404,1630194,Paul Reed,t
405,1642024,Alex Reese,t
406,1641810,Antonio Reeves,t
407,1629675,Naz Reid,t
408,1631197,Jared Rhoden,t
409,1630208,Nick Richards,t
410,1626196,Josh Richardson,t
411,1642258,Zaccharie Risacher,t
412,1641857,Liam Robbins,t
413,1629130,Duncan Robinson,t
414,1629011,Mitchell Robinson,t
415,1631115,Orlando Robinson,t
416,1630526,Jeremiah Robinson-Earl,t
417,1631223,David Roddy,t
418,1631157,Ryan Rollins,t
419,1626179,Terry Rozier,t
420,1641712,Rayan Rupert,t
421,1626156,D'Angelo Russell,t
422,1630346,Matt Ryan,t
423,1627734,Domantas Sabonis,t
424,1642275,Tidjane Salaün,t
425,1641766,Adama Sanogo,t
426,1630611,Gui Santos,t
427,1642259,Alexandre Sarr,t
428,1631204,Marcus Sasser,t
429,1631248,Baylor Scheierman,t
430,203471,Dennis Schröder,t
431,1630578,Alperen Sengun,t
432,1641729,Brice Sensabaugh,t
433,1629012,Collin Sexton,t
434,1629013,Landry Shamet,t
435,1630545,Terrence Shannon Jr.,t
436,1630549,Day'Ron Sharpe,t
437,1631101,Shaedon Sharpe,t
438,1642347,Jamal Shead,t
439,1641767,Ben Sheppard,t
440,1642263,Reed Sheppard,t
441,1627783,Pascal Siakam,t
442,1627732,Ben Simmons,t
443,1629014,Anfernee Simons,t
444,1642354,KJ Simpson,t
445,1630579,Jericho Sims,t
446,203935,Marcus Smart,t
447,1630696,Dru Smith,t
448,1630188,Jalen Smith,t
449,1642449,Tolu Smith,t
450,1641890,Tyler Smith,t
451,1631095,Jabari Smith Jr.,t
452,1641733,Nick Smith Jr.,t
453,1631110,Jeremy Sochan,t
454,1642285,Cam Spencer,t
455,1630311,Pat Spencer,t
456,1630531,Jaden Springer,t
457,1641815,Isaiah Stevens,t
458,1630191,Isaiah Stewart,t
459,1631124,Julian Strawther,t
460,1629622,Max Strus,t
461,1630591,Jalen Suggs,t
462,1631306,Cole Swider,t
463,1630256,Jae'Sean Tate,t
464,1628369,Jayson Tatum,t
465,202066,Garrett Temple,t
466,1631207,Dalen Terry,t
467,1628464,Daniel Theis,t
468,1630560,Cam Thomas,t
469,1641708,Amen Thompson,t
470,1641709,Ausar Thompson,t
471,202691,Klay Thompson,t
472,202684,Tristan Thompson,t
473,1630550,JT Thor,t
474,1629680,Matisse Thybulle,t
475,1630214,Xavier Tillman,t
476,1642260,Nikola Topić,t
477,1631210,Jacob Toppin,t
478,1630167,Obi Toppin,t
479,1626157,Karl-Anthony Towns,t
480,1642422,Armel Traore,t
481,1631247,Luke Travers,t
482,1629018,Gary Trent Jr.,t
483,1631131,Oscar Tshiebwe,t
484,200782,P.J. Tucker,t
485,1626167,Myles Turner,t
486,1641816,Hunter Tyson,t
487,1642281,Jaylon Tyson,t
488,1630649,Stanley Umude,t
489,202685,Jonas Valančiūnas,t
490,1627832,Fred VanVleet,t
491,1629020,Jarred Vanderbilt,t
492,1630170,Devin Vassell,t
493,1629216,Gabe Vincent,t
494,1641774,Tristan Vukcevic,t
495,202696,Nikola Vučević,t
496,1629731,Dean Wade,t
497,1630532,Franz Wagner,t
498,1629021,Moritz Wagner,t
499,1631133,Jabari Walker,t
500,1641716,Jarace Walker,t
501,1641717,Cason Wallace,t
502,1630811,Keaton Wallace,t
503,1641775,Jordan Walsh,t
504,1642266,Ja'Kobe Walter,t
505,1642276,Kel'el Ware,t
506,1629023,P.J. Washington,t
507,1631102,TyTy Washington Jr.,t
508,1630322,Lindy Waters III,t
509,1630570,Trendon Watford,t
510,1641817,Anton Watson,t
511,1631212,Peyton Watson,t
512,1642377,Jaylen Wells,t
513,1641705,Victor Wembanyama,t
514,1631104,Blake Wesley,t
515,201566,Russell Westbrook,t
516,1629632,Coby White,t
517,1628401,Derrick White,t
518,1641727,Dariq Whitehead,t
519,1641715,Cam Whitmore,t
520,1630598,Aaron Wiggins,t
521,203952,Andrew Wiggins,t
522,1631214,Alondes Williams,t
523,1630314,Brandon Williams,t
524,1642262,Cody Williams,t
525,1629684,Grant Williams,t
526,1631114,Jalen Williams,t
527,1631119,Jaylin Williams,t
528,1629026,Kenrich Williams,t
529,1631109,Mark Williams,t
530,1631466,Nate Williams,t
531,1630172,Patrick Williams,t
532,1630533,Ziaire Williams,t
533,1629057,Robert Williams III,t
534,1631246,Vince Williams Jr.,t
535,1629627,Zion Williamson,t
536,1630592,Jalen Wilson,t
537,1630164,James Wiseman,t
538,1631209,Isaiah Wong,t
539,1626174,Christian Wood,t
540,1626153,Delon Wright,t
541,1627824,Guerschon Yabusele,t
542,1642385,Cui Yongxi,t
543,1629027,Trae Young,t
544,203469,Cody Zeller,t
545,1627826,Ivica Zubac,t
546,1641783,Tristan da Silva,t
547,1628427,Vlatko Čančar,t
548,203967,Dario Šarić,t
